我和我的家乡,9.3,葛优／黄渤／范伟,剧情／喜剧,2020-10-01
姜子牙,8.4,郑希／杨凝／图特哈蒙,动画／动作／冒险,2020-10-01
八佰,9.2,王千源／张译／姜武,剧情／战争／历史,2020-08-21
夺冠,9.1,巩俐／黄渤／吴刚,剧情,2020-09-25
我在时间尽头等你,7.9,李鸿其／李一桐／范伟,爱情／奇幻／喜剧,2020-08-25
花木兰,7.5,刘亦菲／甄子丹／杰森·斯考特·李,剧情／冒险,2020-09-11
信条,8.3,约翰·大卫·华盛顿／罗伯特·帕丁森／伊丽莎白·德比茨基,科幻／动作／剧情,2020-09-04
急先锋,8.3,成龙／杨洋／艾伦,动作／冒险／喜剧,2020-09-30
我和我的祖国,9.7,黄渤／张译／韩昊霖,剧情,2019-09-30
哪吒之魔童降世,9.6,吕艳婷／囧森瑟夫／瀚墨,动画／喜剧／奇幻,2019-07-26
